				Interchange Sort
Tap Du Lieu	Tang Dan	Giam Dan	Ngau Nhien	Trung Binh
1000		1.0000 ms	10.0000 ms	6.0000 ms	5.6667 ms
3000		9.0000 ms	93.0000 ms	39.0000 ms	47.0000 ms
5000		25.0000 ms	282.0000 ms	91.0000 ms	132.6667 ms
7000		49.0000 ms	509.0000 ms	139.0000 ms	232.3333 ms
9000		79.0000 ms	820.0000 ms	201.0000 ms	366.6667 ms
11000		115.0000 ms	1223.0000 ms	267.0000 ms	535.0000 ms
13000		161.0000 ms	1711.0000 ms	344.0000 ms	738.6667 ms
15000		218.0000 ms	2266.0000 ms	434.0000 ms	972.6667 ms
17000		277.0000 ms	2912.0000 ms	529.0000 ms	1239.3333 ms
19000		352.0000 ms	3861.0000 ms	639.0000 ms	1617.3333 ms
21000		498.0000 ms	4515.0000 ms	735.0000 ms	1916.0000 ms
