				Radix Sort
Tap Du Lieu	Tang Dan	Giam Dan	Ngau Nhien	Trung Binh
1000		0.0000 ms	1.0000 ms	1.0000 ms	0.6667 ms
3000		1.0000 ms	0.0000 ms	1.0000 ms	0.6667 ms
5000		1.0000 ms	1.0000 ms	1.0000 ms	1.0000 ms
7000		1.0000 ms	1.0000 ms	1.0000 ms	1.0000 ms
9000		2.0000 ms	1.0000 ms	1.0000 ms	1.3333 ms
11000		2.0000 ms	1.0000 ms	2.0000 ms	1.6667 ms
13000		2.0000 ms	1.0000 ms	1.0000 ms	1.3333 ms
15000		3.0000 ms	3.0000 ms	1.0000 ms	2.3333 ms
17000		2.0000 ms	3.0000 ms	2.0000 ms	2.3333 ms
19000		3.0000 ms	3.0000 ms	3.0000 ms	3.0000 ms
21000		3.0000 ms	3.0000 ms	2.0000 ms	2.6667 ms
